Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios
46105;Cullera;0.8;76.6;0.6377307422875775;24702.0;12929.0;1357.0;41.0;188.0;325.0;42.0;246.0;515.0;34.0;151.0;87.0;996.0
46106;Chelva;0.8;76.6;0.6244558203451028;1863.0;14156.0;132.0;5.0;26.0;28.0;6.0;24.0;43.0;8.0;9.0;8.0;96.0
46107;Chella;0.8;76.6;0.5952463296214424;2452.0;12201.0;158.0;3.0;21.0;44.0;3.0;32.0;55.0;6.0;13.0;18.0;111.0
46108;Chera;0.8;76.6;0.5749912214581672;508.0;13377.0;34.0;6.0;10.0;8.0;0.0;3.0;7.0;5.0;5.0;3.0;20.0
46109;Cheste;0.8;76.6;0.6408971641932327;8951.0;13434.0;410.0;5.0;68.0;85.0;17.0;103.0;132.0;20.0;56.0;37.0;262.0
46110;Xirivella;0.8;76.6;0.5754441851289086;32093.0;11830.0;2056.0;97.0;299.0;445.0;74.0;421.0;720.0;32.0;284.0;154.0;1389.0
46111;Chiva;0.8;76.6;0.6857440151609014;17951.0;15381.0;864.0;32.0;114.0;171.0;29.0;196.0;322.0;23.0;142.0;38.0;594.0
46112;Chulilla;0.8;76.6;0.6462128104949061;710.0;14279.0;35.0;3.0;3.0;10.0;3.0;9.0;11.0;3.0;7.0;3.0;22.0
46113;Daimús;0.8;76.6;0.7254066927645995;3524.0;15478.0;163.0;7.0;30.0;37.0;3.0;23.0;63.0;3.0;24.0;7.0;128.0
46114;Domeño;0.8;76.6;0.6708219680088058;723.0;14197.0;44.0;3.0;5.0;3.0;3.0;13.0;19.0;3.0;3.0;3.0;35.0
46115;Dos;0.8;76.6;0.5524104936906138;340.0;12709.0;24.0;3.0;3.0;3.0;3.0;6.0;6.0;0.0;9.0;3.0;14.0
46116;Eliana,;0.8;76.6;0.8074960563792596;19839.0;18983.0;789.0;23.0;105.0;209.0;19.0;137.0;296.0;3.0;105.0;30.0;629.0
46117;Emperador;0.8;76.6;0.7463130891149752;700.0;15240.0;29.0;3.0;3.0;10.0;3.0;3.0;11.0;3.0;3.0;0.0;24.0
46118;Enguera;0.8;76.6;0.6124506612010325;4807.0;13123.0;295.0;8.0;38.0;65.0;7.0;46.0;131.0;12.0;48.0;20.0;201.0
46119;Énova,;0.8;76.6;0.646035985188711;952.0;12681.0;35.0;3.0;7.0;6.0;0.0;6.0;15.0;3.0;8.0;3.0;22.0
